Skill;label
Mechanical Systems Drawings;Hard
Financial Stocks;Hard
Elasticity;Hard
Rubric;Unknown
Transportation Management;Hard
Centrifugation;Hard
Biomechanics;Hard
Legal Appeals;Hard
Private Law;Hard
Solidarity;Soft
Underbody;Hard
Comsol Multiphysics;Hard
Process Specification;Hard
Literature;Soft
Display Advertising;Unknown
Digital Identity;Hard
Receiving Procedures;Soft
Laminar Flow;Hard
Aerodynamics;Hard
Industrial Polishing;Hard
Social Economy;Hard
Classical Music;Hard
Forensic Sciences;Hard
Rental Business;Hard
Wheel Alignment;Hard
Office Machines;Hard
Management of Suppliers;Hard
Economy;Hard
Health Care;Hard
Production Systems;Hard
Active Listening Skills;Soft
Aircraft Maintenance;Hard
Surveys;Unknown
Personal Finance;Soft
Carrying out Assessments;Hard
Interactivity;Soft
Slitting;Hard
Pressure Washers;Hard
Canvassing;Soft
Operation Centers;Hard
Neonatology;Hard
Petroleum Engineering;Hard
Meetings Organisation and Preparation;Soft
Forensic Accounting;Hard
Fishing;Hard
User Assistance;Soft
Knowledge of Glazing;Hard
Identity Theft;Soft
Geriatrics;Hard
Fashion Industry;Soft
Risk Measure;Hard
Consumer Electronics;Hard
Business Priorities;Hard
Visual Perception;Soft
Security Controls;Hard
Kitchen Management;Hard
Evidence-Based Nursing;Hard
Oncology;Hard
Tiling Skills;Hard
Restocking Shelves;Hard
Collective Bargaining;Soft
Health Facilities;Hard
Enteral Nutrition;Hard
Aerospace Manufacturing;Hard
Office Procedures;Soft
Electric Power Distribution;Hard
Task Management;Soft
Iges;Unknown
Video Cameras;Hard
Electrical Measurements;Hard
Accrual Accounting;Hard
Information Architecture;Hard
Sales Concepts;Soft
Credit Facilities;Hard
Lapping;Hard
Customer Analytics;Hard
Chargeback;Hard
Celiac Disease (Professional Expertise);Hard
Cultivator;Hard
Mail Order;Hard
Financial Accountability;Soft
Edger;Hard
Policy Analysis;Hard
Physical Exercises;Hard
Corporate Finance;Hard
Service Industries;Soft
Product Compliance;Hard
Creative Industries;Soft
Garnishment;Hard
Tourism;Soft
Pizza Baking;Hard
Robotics Design and Production;Hard
Creative Direction;Hard
Temperature Control;Hard
Technical Terminology;Hard
Educational Planning;Hard
Extrusion Machines;Hard
Gas Pipelines;Hard
Industrial Mechanics;Hard
Neurosurgeries;Hard
Solvents;Soft
Optical Devices;Hard
Congruence;Soft
Financial Planning;Unknown
5-Why Method;Hard
Microeconomics;Hard
Cognitive Disorders;Hard
Knowledge of Advertising;Hard
Legal Systems;Hard
Brokerage;Unknown
Bioanalysis;Hard
District Heating;Unknown
Agricultural Vehicles;Hard
Pressure Measurement;Hard
Operational Maintenance;Hard
Quality Certification;Hard
Applied Mechanics;Hard
Pre-Production;Soft
Educational Technologies;Hard
Technical Drawings;Hard
Market Data;Hard
Knowledge of the Hospitality Industry;Hard
Sales Performance Management;Hard
Development Programmes;Hard
Affinity Marketing;Hard
Steel Frames;Hard
Applied Mathematics;Hard
Crimping;Hard
Captions;Soft
Business Technologies;Hard
Management Accounting;Hard
Nuclear Magnetic Resonance;Hard
Critical Care;Hard
Project Closure;Soft
Communication with Patients;Soft
Business Transaction Management;Hard
Balance Sheets;Hard
Public Relations;Soft
Knowledge of Livestock Farming;Hard
Customer Retention;Soft
Counseling Techniques;Soft
Leased Lines;Hard
Headlamp;Unknown
Surgical Operations Rooms;Hard
Knowledge of Plumbing;Hard
Paraffin;Unknown
Servomechanism;Hard
Customer Profitability;Hard
Pediatric Nursing;Hard
Scientific Instruments;Hard
Sound Design;Hard
Ambulances;Unknown
Blister (Packaging);Hard
Trial Balance;Hard
Content Marketing;Soft
Architecture;Hard
Fundamental Analysis;Hard
Development Economics;Hard
Baking Goods;Hard
Gas Tungsten Arc Welding;Hard
Knowledge of Cleaning Agents;Hard
Genetic Engineering;Hard
Cognitive Development;Hard
Staff Accounting;Hard
Textile Industry;Hard
Turbomachinery;Hard
Contract Management;Hard
Return Merchandise Authorization;Soft
Foods;Unknown
Cell Biology;Hard
Recitation;Soft
Business Travel Management;Hard
Knowledge of Clothing;Hard
DC Motors;Hard
Limited Liability;Hard
Real Estate;Hard
Embroidery;Hard
Superstores;Unknown
Schematics;Hard
Films;Soft
Maintenance Engineering;Hard
Dozer;Unknown
Aliasing;Hard
Knowledge of Socioeconomics;Hard
Orthopedic Rehabilitation;Hard
Reverse Osmosis;Hard
Commercial Laws;Hard
General Insurance;Hard
Consulting;Hard
Lymphatic Drainage;Unknown
Liquid Chromatography Mass Spectrometry;Hard
Computer Animation;Hard
Civil Defense;Hard
Formal Learning;Hard
Sales Training;Soft
Wind Tunnel;Hard
Inspection Activities;Hard
Quantification;Hard
Retrofitting;Hard
SEO Copywriting;Hard
Process Automation;Hard
Surface Finishing;Hard
Knowledge of Labour Laws;Hard
Publishing Skills;Hard
Precious Metals;Hard
Industrial Tools;Hard
Personalization;Hard
Injunction;Unknown
Brewery;Hard
Medical Emergencies;Hard
Patisserie;Hard
Search Engine Marketing;Unknown
New Media;Hard
Cargo Securing;Hard
Shipyard;Hard
Microscopy;Hard
Animal Care;Hard
IT Project Management;Hard
Sales Planning;Hard
Renovation Skills;Hard
Biopsies;Hard
Plant Management;Hard
Diseases and Disorders;Hard
Air Brush;Hard
Cardio-Pulmonary Resuscitation (CPR);Hard
Exhibitions;Hard
Shift Scheduling;Hard
Biodiesel;Hard
Anchoring;Soft
Sales Campaigns;Hard
Business Lead Management;Soft
Paper Mill;Hard
Firefighting;Hard
Chamfering;Unknown
Systems Modeling;Hard
Safety Training;Hard
Chemical Synthesis;Hard
Very Special Relativity;Hard
Lubricating and Greasing;Hard
Asepsis;Hard
Design Specifications;Hard
Geography;Hard
Customer Communications Management;Hard
Pharmaceuticals;Hard
Soaps;Hard
Winding;Hard
Software Update;Hard
Harvest (Wine);Hard
Economic Order Quantity;Hard
Order Checking;Soft
Industrial Production;Hard
Fintech;Hard
Luxury Goods;Hard
Window Blinds;Hard
Clinical Pharmacy;Hard
Clinical Medicine;Hard
Steelmaking;Hard
Manufacturing Laboratory;Hard
Civil Law;Hard
Value Stream Mapping;Hard
Lean Six Sigma Black Belt;Hard
Transmission;Hard
Alternators;Hard
Water Jet Cutting;Hard
Machine Safety;Hard
Product Consultancy;Hard
Handling and Load Carrying;Hard
Gantry Crane;Hard
Chronic Kidney Disease (Professional Expertise);Hard
Social Recruiting;Soft
Masonry and Bricklaying Work;Hard
Construction and Installation of Floors;Hard
Cloakroom Operations;Soft
Sediment;Unknown
Weighing of Raw Materials;Hard
Academic Writing;Soft
Execution of Experiments;Hard
Autodesk Inventor;Hard
Marketing;Hard
Psychiatry;Hard
Program Management;Hard
Valet Parking;Hard
Floor Planning;Hard
Cooking Skills;Hard
Biopharmaceuticals;Unknown
SA8000;Unknown
Coffee Beans;Unknown
Stoma (Medicine);Unknown
Safety Management Systems;Hard
Mystery Shopping;Soft
Fine Motor Skills;Hard
General Knowledge;Soft
Vehicle Audio;Hard
Medical Laboratory;Hard
Hoisting Skills;Hard
Genetics;Hard
Production Support;Hard
Graphic Design;Hard
Imprest Systems;Hard
Structural Repairs;Hard
Concept Arts;Hard
Journals;Soft
Process Design;Hard
Generally Accepted Accounting Principles;Hard
Decommissioning;Hard
Electronic Control Unit;Hard
Vehicles Transportation;Hard
A/C Recharge;Hard
Website Management;Hard
Occupational Hygiene;Hard
Commercial Art;Hard
Consumer Behaviour;Soft
Knowledge of Sociology;Hard
Biodiversity;Hard
Work Breakdown Structure;Hard
Financial Systems;Hard
Technical Information;Hard
Business Process Improvement;Hard
Spelling and Grammar;Hard
SolidWorks (CAD);Hard
Strategies of Marketing;Hard
Data Management;Hard
Heart Rate;Hard
Refunding;Hard
Private Tutoring;Hard
Disability Support;Soft
Setting of Goals;Soft
Market Development;Hard
Psychosis;Unknown
Filing Skills;Soft
Commercial Management;Hard
Language Education;Soft
Project Initiation Documentation;Hard
Taxi Operator Licence;Hard
Laser Beam Welding;Hard
Telecommuting;Soft
SWOT Analysis;Hard
Medical Surveillance;Hard
Surgical Instruments;Hard
Bid Management;Soft
Catering Equipment;Hard
Pest Control;Hard
International Standards;Hard
Predictive Maintenance;Unknown
Auditions;Soft
Generation of Leads;Soft
Consumer Packaged Goods;Hard
Molecular Medicine;Hard
Laser Cutting;Hard
Kanban;Hard
Feedback Management;Soft
Canopy Management;Soft
Fiber Optic Network;Hard
Condensers;Hard
Dashboards;Hard
Construction Chemistry;Hard
Proximity Sensor;Hard
International Financial Economics;Hard
Electrical Connections;Hard
Office Sales;Soft
Affiliate Marketing;Unknown
Knowledge of Waxes;Hard
Journalism;Hard
Knowledge of Boats;Hard
Medical Imaging;Hard
Finance Lease;Hard
Fashion Accessory;Hard
Coffee Making;Hard
Road Transport;Hard
Credit Collections;Hard
Diagnostic Radiology;Hard
Systems Integration;Hard
Knowledge of Engineering;Hard
Italian Cuisine;Hard
International Taxation;Hard
Milling Machine Operation;Hard
Neonatal Nursing;Hard
Clothing Care and Cleaning;Hard
Limit Switch;Hard
Business Transformation;Hard
Abrasive Blasting;Hard
Direct Tax;Hard
Mixed Media;Hard
Sterilization;Hard
Fanuc;Unknown
Hedge Accounting;Hard
Operations Research;Hard
Recall of Memory;Hard
Immunohaematology;Unknown
Water Supply;Hard
High Frequency;Hard
CNC Machine Use;Hard
Reinforced Concrete;Hard
Advertorials;Unknown
Key Performance Indicators;Hard
Database Administration;Hard
Cold Calling Sales;Soft
Failure Analysis;Hard
Comparator;Soft
Wood Flooring;Hard
Microwave Radiation;Hard
Self-Organization;Soft
Turbines;Hard
Finishing Works;Hard
Knowledge of Learning Disabilities;Hard
Water Filters;Hard
MicroRNA;Unknown
Satellites;Hard
Industrial and Organizational Psychology;Hard
Practice Management;Hard
Parapharmacy;Hard
Seafood;Unknown
Statutory Audit;Hard
Disbursement;Hard
Environmental Services;Hard
Business Performance Management;Hard
Manufacturing;Hard
Enzymes;Hard
Managed Print Services;Hard
Knowledge of Complex Sales;Soft
Islam;Unknown
Investment Trust;Hard
Electrical Switches;Hard
Painting;Hard
Dangerous Goods;Hard
HR Consulting;Hard
Cost Optimisation;Hard
Weaving;Hard
Public Disclosure;Soft
Body Treatments;Hard
Trading Room;Hard
Direct Marketing;Hard
Control Operation;Hard
Galvanization;Hard
Ground Transportation;Hard
Fuel Systems;Hard
Streamline;Hard
Scrubber;Hard
Neuropsychological Tests;Hard
Child Care;Soft
Industrial Sewing Machine;Hard
Raw Materials;Hard
Operational Planning;Hard
Nursing Theories;Hard
Business Licensing;Hard
RNA Sequencing;Hard
Information Design;Hard
Knowledge of Oral Health;Hard
Health Risks;Hard
Knowledge of Packaging and Processing;Hard
Blood Pressure;Unknown
Nail Arts;Hard
Histology;Hard
Process Analysis;Hard
Administration of Medications;Hard
Project Support;Soft
Financial Risk;Hard
Merchandising;Unknown
Nutrition and Dietetics;Hard
Magnification;Hard
Nozzles;Unknown
Transfusion Medicine;Hard
Bootcamp;Hard
Customer Insights;Hard
Governmental Accounting;Hard
Hair Analysis;Hard
Feasibility Studies;Hard
Business Forecasts;Hard
Photography Skills;Hard
Fashion Design;Hard
Trade Union Law;Hard
Doppler Ultrasonography;Hard
Bank Statements;Hard
Single-Minute Exchange of Die (SMED);Hard
Multichannel Marketing;Hard
Stationery;Unknown
Production Monitoring;Hard
Medium Voltage;Hard
Delivery to Private Individuals;Hard
Deferred Income;Hard
Customer Account Management;Soft
Flexography;Hard
Periodontology;Hard
Control of Finished Goods;Hard
Immunohistochemistry;Hard
Electrical Relays;Hard
Restructuring;Hard
Geothermal Energy;Hard
Public Policies;Unknown
Growth Strategies;Soft
Telecare;Soft
Observational Techniques;Soft
Electrode;Hard
Integrated Reporting;Hard
Panel Saw;Hard
Lesion;Unknown
Triage;Hard
Iso/iec;Hard
Planning of Lessons;Hard
Automotive Engines;Hard
Articulation;Soft
Squeegee;Hard
Deconstruction;Hard
Land Use;Hard
Calipers;Hard
Air Traffic Control;Hard
Topsoil;Unknown
Technical Analysis;Hard
Venture Capital;Unknown
Deficits;Hard
Transcribing Skills;Soft
Mechanical Ventilation;Hard
Performance Management;Soft
Mapping;Hard
Simulations;Hard
Production Line;Hard
Natural Sciences;Hard
Safety Stock;Hard
Industrial Instrumentation;Hard
Dowel;Unknown
Floor Management;Unknown
Warehouse Distribution;Hard
Blood Sugar;Unknown
Pipe Cutting;Hard
Scientific Literature;Hard
Makeover;Soft
Machine Control Systems;Hard
Financial Accounting;Hard
CAM Programming;Hard
Hotel Reception Skills;Soft
Legal Lawsuits;Hard
Adjusting Entries;Hard
Geometry;Hard
Facilities Design;Hard
Commercial Banking;Hard
Pharmaceutical Sciences;Hard
Food Technology;Hard
Digital Marketing;Unknown
Soil Testing;Hard
Commercial Refrigeration;Hard
Health Safety and Environment;Hard
Immunology;Hard
Recycling Plants;Hard
Design Elements and Principles;Soft
Predictive Data Analysis;Hard
Social Research;Hard
Quality Control;Soft
Expediting;Soft
Public Health;Hard
Production Preparation;Hard
Automated External Defibrillator;Hard
Admission Control;Hard
Promotional Actions;Hard
Knowledge of Lathes;Hard
Children's Clothing;Hard
Resource Allocation;Hard
Due Diligence;Hard
Upholsteries;Hard
Evaporator;Hard
Turnaround Time;Unknown
European Union Laws;Hard
Semiconductors;Hard
Applied Research;Hard
Industrialisation;Unknown
Prothese;Hard
Anti-theft;Hard
Obstetrics;Hard
National Electrical Codes;Hard
Decontamination;Hard
Marine Biology;Hard
Level 2 Stocks;Hard
Digital Media;Hard
Preventive Action;Hard
Allergens;Unknown
Notified Body;Hard
Social Work;Soft
Mobile Marketing;Unknown
Marketing Channel;Soft
Door to Door Sales;Soft
Transfer Pricing;Hard
Hygiene Management;Hard
Governance Risk Management and Compliance;Hard
Structural Engineering;Hard
Help Desk;Hard
IRS Tax Forms;Hard
Solvency;Hard
Transport Services;Hard
Tailings;Hard
Laser Tracker;Hard
Prepare Walls;Hard
Fire Safety;Hard
Environmental Laws;Hard
Resource Management;Hard
Accounting;Hard
Picking;Hard
Measuring Blood Pressure;Hard
CANalyzer;Hard
Organisational Policies;Hard
Process Safety;Hard
Prevent Loss and Breakage;Hard
Fundraising;Soft
Business to Business Commerce;Hard
Interpreting Technical Drawings;Hard
Quality Policy;Hard
Veterinary Medicine;Hard
Tax Management;Hard
Immunoprecipitation;Hard
Market Segmentation;Hard
Resistors;Hard
Polycyclic Aromatic Hydrocarbon;Unknown
Public Services;Hard
Tillage Process;Hard
Digital Cameras;Hard
Solution Delivery;Soft
Spectrometer;Hard
Health Care Cards;Hard
Administrative Laws;Hard
Civics;Soft
Hydroelectricity;Hard
Uranium;Unknown
Speeds and Feeds;Hard
Handguns;Unknown
Electrical Maintenance;Hard
Visualization;Soft
Bariatrics;Hard
Social Legislation;Hard
General Surgery;Hard
Cerebral Palsy (Professional Expertise);Unknown
Asset Protection;Hard
Management Support;Soft
Supply Chain Management;Hard
Ceramic Glazing;Hard
Freight Forwarding;Unknown
Fossil Fuel;Hard
Zumba;Hard
Regional Sales;Soft
Business Strategies;Hard
Heat Exchanger;Hard
Mechanical Failure;Hard
Reamers;Unknown
Encodings;Hard
Preventive Healthcare;Soft
Internal Accounting Controls;Hard
Business English;Hard
Ammunitions;Hard
Brand Management;Hard
Ductility;Unknown
Homeostasis;Unknown
Shiatsu;Hard
Theatre;Soft
Knowledge of Topography;Hard
Request for Proposal;Hard
Optometry;Hard
Plant Efficiency;Hard
Roofing Materials;Hard
Full Option Science Systems;Hard
Computer-aided Manufacturing;Hard
Editing of Photos;Hard
Funeral Services;Unknown
Conditioners (Farming);Unknown
Storage Systems;Hard
Electricity Generation;Hard
Knowledge of Civil Engineering;Hard
Psychology;Hard
Collection of Goods;Hard
Civil Procedure Law;Hard
Banking Law;Hard
Profile Cutting;Hard
Continuous Training;Soft
Refinishing of Wood Surfaces;Hard
Iconography;Hard
Personnel Data;Hard
Income Support;Hard
Category Management;Hard
Spectroscopy;Hard
Business Credit Reports;Hard
Hot Runner;Hard
Social Media;Soft
Playgrounds;Unknown
Business Model;Hard
Intercultural Communication;Soft
Attendance Tracking;Hard
Acquisition Processes;Hard
Performance Improvement;Hard
Trading;Hard
Car Rental;Soft
Knowledge of Furnishing;Hard
Evictions;Hard
Chain Stores;Soft
Pumps;Hard
Applied Physics;Hard
Insourcing;Soft
Transfection;Hard
Security Domain;Hard
Diagnostic Tests;Hard
Foreign Language Correspondence;Soft
Drum Kit;Soft
Global Interpreter Lock;Hard
Espresso Machines;Hard
Regional Planning;Hard
Program Evaluations;Hard
Thermal Analysis;Hard
Restaurant Operation;Hard
Pharmaceutical Marketing;Hard
Medicinal Chemistry;Hard
ISO 9000;Hard
Infectious Diseases;Hard
Operations Management;Hard
Backlogs;Soft
Numerical Analysis;Hard
Mutual Funds;Hard
Decision Analysis;Hard
Emerging Markets;Hard
Journalistic Writing;Soft
Automotive Engineering;Hard
Pliers;Unknown
Seat Belts;Soft
Data Science;Unknown
Social Sciences;Hard
Inventory Valuation;Hard
Microbiology;Hard
Sample Collection;Hard
Insurance Management and Aftercare;Hard
Continuous Monitoring;Hard
Chemical Engineering;Hard
Media Education;Hard
Precipitation;Hard
Knowledge of Business Events;Soft
Immigration;Hard
Electrical Machines;Hard
Online Meetings;Hard
Radio Equipment;Hard
Theatrical Techniques;Soft
Nervous Systems;Hard
Content Distribution;Hard
Ophthalmology;Hard
Kitchen Equipment;Hard
Knowledge of Dynamics of Groups;Soft
Bus Driving;Hard
Office Management;Hard
Economic Policy;Hard
International Cuisine;Soft
Machine Press;Hard
Heating System Maintenance;Hard
Consumer Credit;Hard
Distribution (Business);Hard
Relationship Marketing;Soft
Self Defense;Hard
Optical Comparator;Hard
Net Assets;Unknown
Home Staging;Hard
Organic Chemistry;Hard
Field Research;Hard
Conflict Resolution;Soft
Loans;Hard
Costumes;Soft
HGV;Unknown
Medical Prescriptions;Hard
Electromagnetic Compatibility;Hard
Mechanical Systems;Hard
Sales Tax;Hard
Rapid Learning;Hard
Infrared Technology;Hard
Test Equipment;Hard
Knowledge of Econometrics;Hard
Squaring;Hard
Corporate Accounting;Hard
Moulds Preparation;Hard
Antennas;Hard
Agitator and Mixer Operation;Hard
Data Quality;Soft
Waterproofing;Hard
Judo;Hard
Withholding Tax;Hard
Building Codes;Hard
Material Safety Data Sheets;Hard
Dietary Supplements;Hard
Marketing Communications;Unknown
Aerial Work Platforms;Hard
Metal Lathes;Hard
Income Tax;Hard
Universal Design;Hard
International Laws;Hard
Knowledge of Fashion;Soft
Footwear Industry;Unknown
Room Servicing and Cleaning;Hard
Ballroom Dancing;Soft
Subcontractors Relationship Management;Soft
Gsuite;Hard
Integrated Services;Hard
Zoology;Hard
Polling;Hard
Hair Removal;Hard
Developmental Biology;Hard
Autodesk Mechanical Desktop;Hard
Systems Security Certified Practitioner;Hard
Knowledge of Substance Dependence;Hard
Cell Cultures;Hard
RNA Extraction;Hard
Plastic Manufacturing;Hard
Kitchen Safety;Hard
Transport Engineering;Hard
8D Report;Hard
Reorganisation;Soft
Medical Office Skills;Hard
Capital Budgeting;Hard
Production Materials;Hard
Quality Strategy;Hard
Machine Maintenance;Hard
Robotic Surgery;Hard
Milk Processing;Hard
Good Powers of Observation;Soft
Dictation;Soft
Wrenches;Hard
Tailoring;Hard
Conveyor Systems;Hard
Financial Analysis;Hard
Pallet Wrapper Operation;Hard
Additives;Hard
Wind Farming;Unknown
Mobile Device Management;Hard
Advanced Driver Assistance Systems;Hard
Knowledge of Laws;Hard
Repairing Skills;Hard
Duct Systems;Hard
System Sales;Soft
Engine Tuning;Hard
Enrollment Management;Hard
Well-being and Personal Care;Soft
Human Resources;Hard
Production Schedule;Hard
Management of Tenders;Soft
Academic History;Hard
Engine Designs;Hard
Medications;Hard
Thinning;Hard
Autodesk 3DS Max (3D Graphics Software);Hard
Human Relations Movement;Unknown
Transferable Skills Analysis;Soft
Client Accounting;Hard
Brazing of Metals;Hard
Military Security;Hard
Internal Documentation;Soft
Polyacrylamide Gel Electrophoresis;Hard
Traffic Laws;Hard
Franchising Skills;Hard
Define Measure Analyze Improve and Control (DMAIC);Hard
Fiscal Policies;Hard
Point-of-sale Systems;Hard
Acute Myeloid Leukemia (Professional Expertise);Unknown
Work Orders;Hard
Instagram Marketing;Unknown
Revenue Growth;Unknown
Trend Analysis;Hard
Diagramming;Hard
Hardware Stores;Hard
Metrics;Hard
Environmental Control;Hard
Construction Toolkits;Hard
Processing of Payments;Hard
Career Development;Soft
Locksmithing Skills;Hard
Inverters;Hard
Parametrization;Hard
Helicopters;Hard
Food Delivery;Hard
Softball;Hard
Digitization;Hard
Emergency Repair;Hard
Pilot Experiment;Hard
Catering Companies;Hard
Test Design;Hard
Clutch;Soft
Brand Awareness;Hard
Resource Utilization;Hard
Job Analysis;Hard
Beverage Sales;Soft
Operations Support Systems;Hard
Braille;Hard
Barcodes;Hard
Industrial Control - Commissioning;Hard
Digital Management;Unknown
Telecommunications Service;Hard
Catering Activity and Reception Organisation;Soft
File (Tool);Hard
Matrix Management Organizational Structure;Hard
HEC-RAS;Hard
Shot-peening;Hard
Knowledge of Immunization;Hard
Smart Contracts;Hard
5s-Method;Hard
Telephone Call Reception Management;Hard
Lean Six Sigma Green Belt;Hard
Strategic Communication;Hard
Photojournalism;Unknown
Robot Welding;Hard
FM Broadcasting;Hard
General Stores;Hard
Business Processes;Hard
Field Service Management;Hard
Roadworks, Highways and Utilities;Hard
Organisation of Deliveries;Hard
Knowledge of Leasings;Hard
Materials Management;Hard
Legal Documentation;Hard
Multimedia;Hard
Process Termination Pay;Hard
Auditing Standards;Hard
Clinical Engineering;Hard
Regulatory Requirements;Hard
Process Management;Hard
Test Engineering;Hard
Control Methods;Hard
Arc Welding;Hard
Forklift Safety;Soft
Debt Settlements;Hard
Economic Analysis;Hard
Surgical Emergency;Hard
Climate Change;Hard
Business Planning;Hard
Haemodialysis;Hard
Productivity Software;Hard
Social Policy;Hard
Knowledge of Standards Compliance;Hard
Subscription Management;Hard
Market Penetration;Hard
Vehicle Types;Soft
Water Treatment;Hard
Shop Drawing;Hard
Exhaust Systems;Hard
Ice Cream;Hard
Locomotives;Unknown
Facebook Marketing;Unknown
Recruiment Consulting;Hard
Knowledge of Labor Relations;Hard
Post Sales;Soft
Developmental Psychology;Hard
Site Layout;Hard
Portrait Photography;Hard
General Chemistry;Hard
Graphic Communication;Hard
Molecular Diagnostics;Hard
Social Advertisement;Unknown
Tennis;Soft
People Services;Soft
Music Production;Hard
Collateral Management;Hard
Reverse Engineering;Hard
Art History;Hard
Data Protection;Hard
Service Improvement Planning;Unknown
Data Collection;Hard
Clinical Chemistry;Hard
Signaling;Soft
Fuel Consumption;Hard
Applied Economics;Hard
Health Psychology;Hard
Civil Infrastructure;Hard
Propulsion;Hard
Text Processing;Hard
Household Cleaning;Soft
Digital Signals;Hard
Bagging;Hard
Montessori Education;Soft
Stock Markets;Hard
Product Control;Hard
Social Development;Soft
Product Marketing;Hard
Databases;Hard
Agricultural Machinery;Hard
Tax Auditing;Hard
Brochure Design;Hard
Property Laws;Hard
Construction Site Safety;Hard
Human Resource Marketing;Hard
Cargo Van Driving;Hard
Volumetric Flow Rate;Hard
Business Process Outsourcing;Hard
